Province,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Grand Total,Code,District
3,0,0,0,0,1,1,35,727,9891,2911,561,14127,306,KATHMANDU 
3,0,0,0,0,0,1,99,1558,6016,1809,120,9603,308,LALITPUR 
3,0,0,0,0,0,0,6,86,1151,4204,677,6124,307,BHAKTAPUR 
3,0,0,0,0,0,0,221,337,2452,2220,546,5776,312,MAKWANPUR 
3,0,0,0,0,0,3,4,24,995,1509,624,3159,313,CHITAWAN 
5,0,0,0,0,1,1,5,19,1702,575,102,2405,510,DANG 
3,0,0,0,0,0,32,24,54,483,674,378,1645,304,DHADING 
5,1,0,2,1,0,7,109,315,374,370,20,1199,508,RUPANDEHI 
3,0,0,0,0,0,0,5,29,177,301,24,536,309,KAVREPALANCHOK 
6,0,0,0,3,2,0,0,1,451,13,0,470,610,SURKHET 
7,2,0,1,1,0,0,3,13,395,11,4,430,708,KAILALI 
1,0,0,0,0,0,0,2,4,114,252,3,375,113,SUNSARI 
4,0,0,0,0,0,0,2,1,86,182,78,349,407,TANAHU 
7,0,0,0,0,0,2,0,10,270,44,12,338,703,DARCHULA 
2,1,0,0,0,2,0,0,9,87,186,41,326,207,BARA 
5,0,0,0,0,2,3,17,33,244,6,0,305,504,GULMI 
1,0,0,0,1,0,11,30,15,64,144,38,303,102,SANKHUWASABHA 
4,0,0,0,0,0,1,2,9,81,170,26,289,401,GORKHA 
1,0,0,0,0,1,0,0,2,75,192,6,276,105,KHOTANG 
3,0,0,0,0,0,0,2,12,113,107,39,273,305,NUWAKOT 
4,0,0,0,0,1,0,3,3,77,150,31,265,410,PARBAT 
4,0,0,0,1,0,0,3,6,84,130,37,261,405,KASKI 
1,1,0,1,0,1,1,2,5,68,125,35,239,111,JHAPA 
7,2,0,0,0,2,4,3,14,121,40,35,221,709,KANCHANPUR 
3,0,0,0,0,0,0,0,7,89,104,18,218,302,SINDHUPALCHOK 
4,0,0,0,0,0,0,1,5,80,105,20,211,409,SYANGJA 
2,0,0,0,0,0,3,1,3,68,94,37,206,208,PARSA 
5,0,0,7,4,6,0,4,6,68,92,18,205,512,BARDIYA 
3,0,1,1,1,0,0,4,17,93,63,21,201,310,RAMECHHAP 
5,0,1,1,2,0,3,12,26,82,51,14,192,506,PALPA 
4,0,0,0,0,0,0,6,12,70,57,32,177,411,BAGLUNG 
1,0,0,0,0,0,0,0,88,50,33,0,171,108,TERHATHUM 
3,0,0,0,0,0,1,27,38,46,46,12,170,311,SINDHULI 
5,0,0,0,1,0,1,13,36,87,15,9,162,505,ARGHAKHANCHI 
4,0,0,0,0,0,0,2,12,64,42,37,157,408,NAWALPARASI EAST 
5,0,1,0,0,0,0,2,6,49,95,2,155,511,BANKE 
1,1,0,0,1,0,3,2,3,65,54,23,152,112,MORANG 
2,0,0,0,0,2,1,1,19,63,37,29,152,205,SARLAHI 
1,0,0,0,0,0,0,0,3,53,81,14,151,114,UDAYAPUR 
1,0,0,0,0,0,0,0,4,54,77,8,143,107,DHANKUTA 
2,0,0,0,0,1,0,2,5,70,45,14,137,206,RAUTAHAT 
5,0,0,1,0,0,2,6,21,53,32,17,132,509,KAPILBASTU 
5,0,0,0,0,0,1,16,23,33,33,15,121,507,NAWALPARASI WEST 
1,0,0,0,0,1,0,1,2,29,55,20,108,110,ILAM 
1,0,0,0,0,0,2,7,3,29,55,9,105,106,BHOJPUR 
3,0,0,0,0,0,0,0,10,56,32,6,104,301,DOLAKHA 
4,0,0,0,1,0,2,8,6,44,7,20,88,406,LAMJUNG 
7,0,0,0,0,0,0,1,1,72,8,2,84,706,DOTI 
1,0,0,0,0,0,0,0,1,23,43,10,77,109,PANCHTHAR 
7,0,0,0,0,0,0,3,4,34,22,10,73,704,BAITADI 
4,0,0,0,1,0,0,1,1,43,6,14,66,404,MYAGDI 
2,0,0,0,0,0,0,0,5,36,0,16,57,204,MAHOTTARI 
1,0,0,0,0,0,1,3,4,27,15,6,56,104,OKHALDHUNGA 
5,1,0,0,0,0,1,6,6,25,6,4,49,503,PYUTHAN 
6,0,0,0,0,0,0,1,3,25,14,3,46,608,RUKUM WEST 
7,0,0,0,0,0,1,1,5,23,8,4,42,705,DADELDHURA 
2,0,0,0,0,0,0,0,3,24,9,5,41,201,SAPTARI 
7,0,0,0,0,1,1,1,1,21,12,3,40,707,ACHHAM 
6,0,0,0,0,0,0,1,0,26,4,5,36,609,SALYAN 
2,0,0,1,0,0,0,0,2,15,13,3,34,203,DHANUSA 
6,0,0,0,0,0,0,1,1,13,18,0,33,606,DAILEKH 
7,1,0,0,0,0,0,0,4,17,7,4,33,702,BAJHANG 
2,0,0,0,0,0,1,0,5,17,6,2,31,202,SIRAHA 
6,0,0,0,0,0,1,0,0,20,10,0,31,605,KALIKOT 
6,1,0,0,0,0,0,6,6,10,4,1,28,604,JUMLA 
5,0,0,0,0,0,0,2,3,15,4,3,27,501,RUKUM EAST 
7,0,0,0,0,1,0,1,5,11,7,1,26,701,BAJURA 
1,0,0,0,0,0,0,0,2,14,5,2,23,103,SOLUKHUMBU 
5,0,0,0,0,0,0,0,2,12,7,2,23,502,ROLPA 
1,0,0,0,0,0,0,0,0,6,10,3,19,101,TAPLEJUNG 
6,0,0,0,0,0,1,0,0,11,1,0,13,607,JAJARKOT 
4,0,0,0,0,0,0,0,1,5,2,4,12,402,MANANG 
6,0,0,0,0,0,0,0,1,7,4,0,12,602MUGU,
3,0,0,0,0,0,0,0,0,6,5,0,11,303,RASUWA 
4,0,0,0,0,0,0,0,0,2,6,0,8,403,MUSTANG 
6,0,0,0,0,0,0,0,1,1,2,1,5,601,DOLPA 
6,0,0,0,0,0,0,0,0,2,1,0,3,603,HUMLA 
,11,3,15,18,25,93,720,3708,27529,17889,3940,53951,Grand,Total 
